Windspeed,Lux,Humidity,Ext. Temperature,Station Temperature,Sea Level Pressure,Station Altitude,Absolute Pressure,Solar Irradiance
11.874,1316.088,46.8,59.74,41.12,1018.436,85.2,1003.036,1092.469833
10.653,1309.353,46.2,56.76,41.08,1018.4,86,1003.002,1088.422333
10.973,1308.842,47.4,59.96,40.88,1018.276,86.4,1002.886,1088.191
13.3755,1308.048,47.6,57.88,40.96,1018.12,87.6,1002.73,1085.3915
12.433,1302.528,48,57.32,40.96,1018.116,88,1002.726,1082.6585
18.3865,1289.4035,47.2,50.32,40.6,1018.008,89,1002.618,1076.529833
8.9165,1284.524,47.2,43.84,40.36,1018.004,89,1002.614,1071.614333
14.341,1281.8195,48.6,38.7,40.12,1017.986,89.6,1002.596,1064.109333
14.0895,1276.2275,48.2,36.58,39.88,1018.026,89.2,1002.636,1063.067167
14.3715,1275.175,47.8,35.1,39.58,1017.948,89.2,1002.558,1062.616
12.5185,1269.702,49.8,34.5,39.38,1017.944,89.2,1002.554,1053.107333
12.87341,1262.0535,49.6,34.52,38.96,1017.936,89.6,1002.546,1049.730667
12.884105,1260.941,49.2,33.64,38.88,1017.848,90.8,1002.458,1049.6015
12.857465,1260.837,50,35.58,38.46,1017.784,90,1002.394,1047.170667
12.829145,1259.573,49.6,36.14,38.06,1017.84,90,1002.45,1045.733667
12.84468,1259.526,49.4,41.2,37.7,1017.856,90.8,1002.466,1045.247667
12.89363,1255.923,48.4,56.72,38.4,1021.752,58.2,1006.302,1044.927833
13.0230325,1253.547,46.4,56.76,39.2,1021.59,59.6,1006.146,1040.6715
13.083915,1251.4765,48,55.52,39.52,1021.542,60,1006.102,1038.695667
13.210965,1246.417,46.4,58.48,39.8,1021.326,61.2,1005.886,1036.0955
13.7010925,1246.345,46.8,58.12,40.08,1021.306,61.6,1005.866,1030.066833
13.7328375,1245.581,44.6,58.48,40.18,1021.172,62,1005.732,1029.8555
13.838985,1240.556,45.8,55.68,40.42,1021.2,62,1005.76,1029.290167
13.1626075,1230.904,45.6,55.88,40.62,1021.09,63.2,1005.65,1008.628667
13.1302375,1227.6925,43.6,56.64,40.82,1020.986,64,1005.55,1008.164667
13.1512675,1222.9875,44.2,59.68,41.04,1021,64.2,1005.562,986.2306667
14.998595,1101.149,41,57.8,41.04,1020.724,65.4,1005.294,711.1203333
14.86467,1100.722,42,59.22,41.04,1020.714,66.6,1005.284,709.5916667
14.96289,1100.038,42.4,63.34,41.04,1020.606,67.4,1005.176,709.208
14.549305,1099.118,42.6,60.96,41.2,1020.624,67.2,1005.194,705.9813333
14.640845,1097.091,41.4,62.72,41.56,1020.516,67.6,1005.086,704.2776667
14.427495,1088.736,41.2,61.04,41.74,1020.516,68,1005.086,700.5971667
14.4225,1080.0635,40,61.72,41.9,1020.412,68.8,1004.982,683.2918333
13.299,1926.290689,40.8,58.62,41.86,1020.266,70.2,1004.842,1113.299352
11.0895,2266.630388,40,55.7,41.94,1020.186,71,1004.766,1010.47632
10.6735,2391.852914,40.6,58.98,42.06,1020.164,71.2,1004.744,1040.920827
13.1515,2069.80638,39.8,57.98,42.1,1020.152,71.2,1004.732,852.0921167
10.7275,2394.393348,38.2,60.46,41.62,1020.126,71.4,1004.706,1040.182037
14.661,2209.926271,40.6,60.02,41.3,1020.042,72.2,1004.622,795.19926
17.732,1995.191615,42,61.6,41.66,1020.022,71.8,1004.602,692.5893383
6.1755,2499.285838,40,63.04,41.86,1019.954,72.6,1004.534,964.123465
9.91,2439.694615,38.8,59.5,41.82,1019.906,73.6,1004.486,918.0458717
16.5575,2242.40369,39.2,61.66,41.94,1019.794,73.6,1004.374,821.4841883
16.161,2437.685329,39,63.16,41.78,1019.726,74.4,1004.306,922.8297167
8.2995,2612.61578,38.6,62.24,41.74,1019.718,74.8,1004.298,1033.781588
18.17,2284.85769,38.2,60.9,41.86,1019.552,75.6,1004.142,842.2244533
16.3865,2335.210864,38.6,56.54,41.86,1019.532,76.4,1004.122,863.789825
13.524,2194.402501,39,58.34,41.74,1019.454,76.8,1004.044,870.5612717
11.6805,2106.196412,37.8,58.66,41.46,1019.366,78,1003.956,924.0647517
13.932,2099.900258,39,59.24,41.08,1019.314,77.8,1003.904,831.98186
14.2385,2325.431176,38.2,57.84,40.76,1019.278,78.2,1003.868,915.2372483
17.076,2622.947718,38.8,55.92,39.96,1019.252,78.2,1003.842,1038.33775
15.7405,2355.52299,40,52.88,39.84,1019.184,79,1003.774,869.937735
12.875,1258.0415,40.8,50.82,39.8,1019.188,79,1003.778,1046.652325
8.9475,1936.112044,42,47.54,39.6,1019.128,79,1003.718,690.7155967
12.0335,2382.510636,41.2,41.26,39.1,1019.116,79.2,1003.706,1042.362598
17.51,2038.863398,42,38.02,38.74,1019.084,79.6,1003.674,704.528695
12.536,2785.599306,43.2,37.04,38.38,1019.146,79.6,1003.736,1155.806415
11.3065,2158.039963,42.4,35.32,38.22,1019.05,80.8,1003.64,777.1554583
13.6045,2285.148111,43.4,35.06,37.98,1019.024,80.4,1003.614,884.9521017
12.674,2242.263262,43.4,34.78,37.66,1019.02,80,1003.61,1249.994
12.375,2654.608216,44.4,35.72,37.5,1018.904,81,1003.504,1095.714637
12.0685,1673.454712,45.2,35.84,37.1,1018.828,81.8,1003.428,1301.758872
16.0035,2324.714433,45.6,38.64,36.78,1018.828,82,1003.428,860.7068867
12.9545,2309.808813,46,37.4,36.66,1018.856,81.6,1003.456,871.2926517
16.783,2103.4587,46,35.14,36.52,1018.786,82.2,1003.386,732.599335
12.6295,2352.649393,46.8,33.5,36.36,1018.758,83.4,1003.358,881.37483
14.328,2359.710321,49,33.9,36.28,1018.746,82.8,1003.346,877.4074883
11.7605,2060.41105,49,37.66,36.4,1018.734,82.4,1003.334,714.1633967
15.9095,2465.863015,47.6,37.92,36.32,1018.71,83,1003.31,935.1614283
10.8015,2376.348484,47.2,38.28,36.44,1018.606,83.4,1003.206,986.9561883
16.2035,1837.68971,47.4,39.16,36.4,1018.64,83.6,1003.24,1383.214993
12.172,2345.283857,47.8,40.76,36.12,1018.772,82.8,1003.372,962.9864717
14.734,2293.14206,49.2,40.48,36.08,1018.738,83.4,1003.338,846.07076
14.023,2112.725287,48.4,39.32,35.96,1018.75,83.8,1003.35,849.7256167
13.2325,2464.772608,47.6,36.76,35.64,1018.644,83.2,1003.244,1032.270832
12.774,2616.075899,48.4,34.52,35.44,1018.596,84.4,1003.196,1297.37091
16.9385,2155.442583,49.4,32.14,35.14,1018.524,84.2,1003.124,759.7488967
16.9725,2342.484754,50,48.6,39.56,1021.13,63,1005.69,863.0614667
12.936,2170.319799,31.8,49,39.6,1021.162,63.2,1005.722,1071.411303
13.972,2228.582221,49.6,55.02,41.96,1023.078,47.4,1007.608,1081.485067
11.8835,2254.793329,48.8,54.5,41.92,1023.058,46.6,1007.588,1033.892935
13.312,2060.111378,48.4,51.44,41.54,1023.014,47.6,1007.544,788.56422
14.5245,2074.696403,48.4,50.44,41.1,1022.914,48,1007.448,745.32454
16.3975,2175.006015,49.8,55.52,41.28,1022.522,51,1007.062,773.8734933
12.3045,2461.001626,49.8,52.16,41.34,1022.486,52,1007.026,1351.690378
14.041,2244.281973,49,47.64,41.14,1022.434,52.4,1006.974,1092.689367
15.117,2382.832286,49.6,51.36,39.04,1024.536,35.2,1009.046,887.71844
12.165,2434.298739,49.4,55.22,39.02,1024.588,34.8,1009.098,935.01361
13.6475,2287.467221,49,56.5,39.22,1024.58,34.4,1009.09,893.15142
10.8575,2081.209553,47,55.72,39.14,1024.464,35.8,1008.974,852.3312067
14.728,1537.181827,47.8,52.84,39.26,1024.372,36.2,1008.882,1094.148265
13.8875,2367.977223,48.4,53.82,39.54,1024.236,37,1008.756,871.196945
15.211,2745.183123,46.8,53.5,39.7,1024.12,38.6,1008.64,1123.45701
12.061,2159.184775,44.2,52.86,39.64,1023.996,39,1008.516,1102.515063
14.539,2351.199227,47,54.78,39.48,1024.012,40.2,1008.532,863.8230667
17.014,2157.091381,46.4,54.28,39.4,1023.918,40.6,1008.438,759.6632933
16.8545,2341.483509,46,54.72,39.52,1023.714,41.4,1008.234,865.5530067
11.682,2458.36586,47.6,55.18,39.82,1023.722,41.6,1008.242,1058.284512
15.2905,2143.411378,48.4,57.42,39.98,1023.542,42.8,1008.07,751.4550933
16.5805,2091.917536,48,56.46,40.04,1023.536,43,1008.064,735.57779
16.443,2348.927457,46,53.42,40.04,1023.484,43.4,1008.012,868.5183983
11.243,2328.944379,43,52.92,39.8,1023.436,44.4,1007.966,1157.384668
14.7685,2300.925617,43.4,53.48,39.36,1023.348,44.4,1007.878,853.415165
10.842,2346.172684,45.6,53.76,39.2,1023.266,45.6,1007.796,1046.794003
12.4485,1680.174505,48,54.44,39.72,1023.15,46.4,1007.68,1303.061403
16.095,2181.490698,45.4,54.72,39.7,1023.074,47.4,1007.604,772.6259067
15.095,2388.859016,45,54.52,39.66,1022.99,47.4,1007.52,886.6523867
13.868,2372.061902,45.8,54.26,39.58,1022.858,48,1007.398,879.3429967
15.6095,2314.127202,45,53.7,39.34,1022.842,49.2,1007.382,864.07392
13.3635,1784.5944,47.6,53.9,39.44,1022.782,49.4,1007.322,942.2966383
15.9465,2334.147708,46.8,52.78,39.76,1022.77,49.4,1007.31,863.1476717
18.2255,1964.010389,43.6,52.36,39.64,1022.784,49,1007.324,679.8095092
14.368,2131.624685,44.8,51.56,39.32,1022.848,48.6,1007.388,796.7029517
